Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.895978,5585831918.054602,5.08418,39.03122,44.002903
0.560958,4996584996.253632,13.4852,52.761903,63.048012
0.370508,4326087348.126093,5.4552,41.45441,56.475633
0.85068,1158182205.529061,3.90773,16.520805,45.714763
0.273165,3102348286.806241,4.45894,27.965123,54.134231
0.128083,5903525011.2009115,4.44171,43.339421,49.810443
0.473693,4908656758.030815,3.7694,47.963779,59.533059
0.928108,3372751986.8811717,14.7518,29.307287,43.298953
0.48531,4638188766.959713,11.3034,49.392603,62.099147
0.287525,5962577357.174795,1.91083,45.91554,52.053153
0.503578,5691261119.878195,3.97727,53.594537,60.595142
0.947302,1041721279.6587498,12.3322,15.57546,42.136305
0.157471,6694120343.919574,2.13327,46.004217,47.924377
0.380514,2189082686.665386,11.1354,27.7034,58.375301
0.627656,1347377006.7356346,12.7182,24.578005,60.665847
0.764949,6835958894.498048,8.11199,50.116951,50.737158
0.737992,1300251885.5693026,5.78225,20.127392,52.244731
0.38575,5282455388.13112,8.7705,49.054015,57.899905
0.476432,5770290354.52515,1.57725,51.111793,57.89788
0.241215,3249931443.157158,2.45282,24.383699,50.914941
0.781183,2028027094.6093755,4.37742,24.851204,49.27605
0.936606,2459717232.565948,8.80843,24.343608,42.616693
0.458224,6108500481.527842,6.8883,55.57142,60.071388
0.238683,2302487436.618104,3.44052,14.406255,51.907858
0.637846,5902108030.633411,13.0697,54.96306,60.02182
0.963599,5041903523.323095,7.07636,33.697213,40.927649
0.974902,2459657400.5853314,1.09757,21.612073,39.558726
0.619822,4963167765.485172,7.19936,50.208131,60.412502
0.36198,2889899569.790387,3.06082,27.551952,54.864172
0.100502,5462879498.716223,1.39568,29.846581,42.745046
0.358713,5206383032.634237,4.26081,45.836321,55.665333
0.587138,2617673982.7067986,3.03853,33.27633,60.442205
0.925563,6981015045.176565,7.69462,43.057157,43.135666
0.50102,5306107030.868597,7.28336,52.776118,61.660025
0.89644,3543518343.30472,1.09647,29.430063,43.211018
0.19678,3778316345.6604605,1.72227,25.253458,48.153661
0.127287,6193865098.224116,10.3364,48.837479,53.194527
0.554275,6359421333.830836,6.97056,58.897106,62.071074
0.514415,1572996061.7591453,0.94944,12.232757,58.194057
0.846785,4828848316.260133,2.15073,37.247952,45.538449
0.938774,1790400688.8569112,0.923941,18.515498,41.513191
0.168347,6299740341.948729,1.1846,41.521199,46.154607
0.712049,6841851857.053816,2.22681,52.372781,53.072315
0.731111,4772710644.245309,2.90908,42.315827,52.099197
0.238496,2079365610.0248241,3.18659,9.553499,51.65296
0.290384,2579238415.454355,8.1841,26.997785,56.482092
0.691798,3005163674.7161036,7.04083,35.251284,55.457286
0.869213,5043163200.880191,0.829477,36.705548,44.03753
0.620863,6722210147.100575,13.1827,59.941382,61.12319
0.485768,3351671002.413603,14.6345,41.772749,62.595209
0.503392,1526808247.3422232,1.03471,10.779588,58.058002
0.833367,4641577413.3389435,2.08555,36.891056,46.147988
0.458931,1842051500.314939,4.47627,22.767431,59.217567
0.728108,5082447294.943082,2.64987,43.880545,52.211457
0.847267,6392326035.357976,5.63393,43.952136,46.090603
0.905177,5275666165.062233,3.96984,37.350466,43.612969
0.71906,2893256455.644605,6.75245,33.426722,53.660807
0.284993,1555243293.4857612,4.29144,7.489212,54.42786
0.828596,4462400413.941725,2.09576,36.259604,46.380426
0.272087,5126128120.801214,1.11976,37.972927,49.755616
0.293983,3513096886.0322666,4.91784,32.86508,55.087108
0.240809,5071063401.5044155,5.97789,42.923157,53.74032
0.670303,6597383268.735905,2.33939,54.07142,55.761954
0.168857,4457595481.467635,9.51783,38.818899,53.740199
0.292962,4860663764.727871,6.41889,43.702584,55.83967
0.449477,4630355730.041195,0.907468,41.167699,55.33154
0.815637,6311453426.139777,11.9935,45.638627,48.169911
0.312139,4586290895.91607,3.10587,39.607495,54.125802
0.919909,2080182776.2711225,10.4614,22.905051,43.540271
0.769083,2088542201.835315,0.988654,23.330824,48.827251
0.557829,1513630801.429761,6.58151,23.986326,61.966204
0.583642,2221453788.468342,8.57204,32.464793,62.010123
0.632431,4914753064.349584,3.21312,48.154604,58.664515
0.893075,5089614604.227018,1.01326,36.241627,43.282331
0.821459,6648917179.943897,0.899897,44.87437,46.17037
0.429035,1222622185.6300385,0.987431,2.310297,54.389948
0.76023,6090961740.619104,1.0837,45.713604,49.419141
